city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Madrid,40.4169,-3.7033,Spain,ES,Madrid,primary,6211000,3266126
Barcelona,41.3828,2.1769,Spain,ES,Catalunya,admin,4800000,1620343
Valencia,39.4700,-0.3764,Spain,ES,Valencia,admin,1595000,807693
Sevilla,37.3900,-5.9900,Spain,ES,Andalucía,admin,1100000,684025
Málaga,36.7194,-4.4200,Spain,ES,Andalucía,minor,967250,586384
Bilbao,43.2569,-2.9236,Spain,ES,Basque Country,minor,775000,346096
Zaragoza,41.6500,-0.8833,Spain,ES,Aragon,admin,682513,682513
Murcia,37.9861,-1.1303,Spain,ES,Murcia,admin,672773,469177
Palma,39.5667,2.6500,Spain,ES,Balearic Islands,admin,550000,423350
Alicante,38.3453,-0.4831,Spain,ES,Valencia,minor,349282,349282
Córdoba,37.8845,-4.7796,Spain,ES,Andalucía,minor,323763,323763
Valladolid,41.6528,-4.7236,Spain,ES,Castilla-León,admin,297459,297459
Vigo,42.2314,-8.7124,Spain,ES,Galicia,,293652,293652
Gijón,43.5333,-5.7000,Spain,ES,Asturias,,268313,268313
Vitoria-Gasteiz,42.8500,-2.6833,Spain,ES,Basque Country,admin,255886,255886
A Coruña,43.3650,-8.4100,Spain,ES,Galicia,minor,247604,247604
Elche,38.2669,-0.6983,Spain,ES,Valencia,,238293,238293
Granada,37.1781,-3.6008,Spain,ES,Andalucía,minor,230595,230595
Terrassa,41.5700,2.0130,Spain,ES,Catalunya,,225277,225277
Sabadell,41.5486,2.1075,Spain,ES,Catalunya,,218300,218300
Cartagena,37.6000,-0.9833,Spain,ES,Murcia,,218050,218050
Oviedo,43.3600,-5.8450,Spain,ES,Asturias,admin,217584,217584
Jerez de la Frontera,36.6817,-6.1378,Spain,ES,Andalucía,,213231,213231
Pamplona,42.8167,-1.6500,Spain,ES,Navarre,admin,205762,205762
Almería,36.8403,-2.4681,Spain,ES,Andalucía,minor,200578,200578
Alcalá de Henares,40.4667,-3.3667,Spain,ES,Madrid,,196888,196888
Donostia,43.3214,-1.9856,Spain,ES,Basque Country,minor,188743,188743
Castellón de la Plana,39.9831,-0.0331,Spain,ES,Valencia,minor,176238,176238
Burgos,42.3500,-3.7067,Spain,ES,Castilla-León,minor,174451,174451
Albacete,38.9956,-1.8558,Spain,ES,Castilla-La Mancha,minor,173206,173206
Santander,43.4628,-3.8050,Spain,ES,Cantabria,admin,172726,172726
Guadalajara,40.6337,-3.1674,Spain,ES,Castilla-La Mancha,minor,161683,89010
Marbella,36.5167,-4.8833,Spain,ES,Andalucía,,156295,156295
